epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr,time_s
1,0.58656883969903,0.66,0.13179496988654138,0.94,,0.0009997532801828658,0.9933390617370605
2,0.3224420556426048,0.925,0.16407493747770785,0.94,,0.0009990133642141358,1.9379849433898926
3,0.25471434714272617,0.915,0.1086707067489624,0.94,,0.00099778098230154,2.867816209793091
4,0.2154859635978937,0.935,0.10465928286314011,0.94,,0.000996057350657239,3.7989790439605713
5,0.14847608476877214,0.955,0.17352857653051615,0.94,,0.0009938441702975688,4.731884956359863
6,0.22561252377927304,0.945,0.11886699765920639,0.96,,0.0009911436253643444,5.68122410774231
7,0.10586677554994822,0.975,0.18805390745401382,0.92,,0.0009879583809693736,6.621095180511475
8,0.07717551842331886,0.985,0.09970982849597931,0.94,,0.0009842915805643154,7.55997109413147
9,0.10241599187254906,0.98,0.08329231712967157,0.96,,0.0009801468428384714,8.527900218963623
10,0.06452521249651909,0.98,0.14766980603337287,0.94,,0.0009755282581475767,9.48375391960144
11,0.061516662389039994,0.98,0.08959178901975974,0.94,,0.0009704403844771127,10.434608221054077
12,0.061988491993397475,0.98,0.24323228120803833,0.94,,0.0009648882429441257,11.358163118362427
13,0.02973111975938082,1.0,0.1282735362648964,0.96,,0.0009588773128419905,12.310123920440674
14,0.02236923310905695,1.0,0.14259237778838724,0.94,,0.0009524135262330098,13.250765085220337
15,0.015225219232961535,1.0,0.15299293088261037,0.96,,0.0009455032620941839,14.222919225692749
16,0.010927300102775917,1.0,0.21120225451886654,0.96,,0.0009381533400219318,15.192173957824707
17,0.00777221384076256,1.0,0.237015989869833,0.96,,0.0009303710135019719,16.175969123840332
