split,trial_id,skipped,mask_file,image_size,chosen_max_dim_px,rotation_deg,dx,dy,obj_munsell,resample_attempts_total,resample_attempts_tint,resample_attempts_object,initial_path,candT_path,candF_path,tint_lab,bg_lab_pre,obj_lab_pre,obj_lab_post_init,bg_lab_post_init,obj_rgb_pre,bg_rgb_pre,tint_rgb,obj_rgb_post_init,bg_rgb_post_init,candT_obj_rgb,candF_obj_rgb,cand_bg_rgb,initial_obj_pre_wavelength_nm,initial_obj_post_wavelength_nm,candT_obj_pre_wavelength_nm,candF_obj_pre_wavelength_nm,background_wavelength_nm
train,1,0,apple3.png,512x512,370,-48.1893541517,1,8,5R 6/8,1,1,1,train/trial_000001/initial.png,train/trial_000001/candT.png,train/trial_000001/candF.png,"[60.0, -4.7073, -17.84505]","[60.0, 0.0, 0.0]","[61.0465, 35.39646, 13.57865]","[57.61469, 22.05676, -7.65998]","[60.00099, -4.70785, -17.84406]","[212, 122, 125]","[145, 145, 145]","[116, 148, 176]","[171, 125, 152]","[116, 148, 176]","[212, 122, 125]","[171, 125, 152]","[145, 145, 145]",,,,,
train,2,0,apple1.png,512x512,404,17.7979236453,-7,-7,10YR 7/4,1,1,1,train/trial_000002/initial.png,train/trial_000002/candT.png,train/trial_000002/candF.png,"[60.0, -17.0663, -17.79974]","[60.0, 0.0, 0.0]","[70.86085, 8.39869, 22.1973]","[68.20558, -23.86037, 1.89615]","[60.00095, -17.06635, -17.79884]","[203, 167, 134]","[145, 145, 145]","[81, 155, 175]","[116, 178, 162]","[81, 155, 175]","[203, 167, 134]","[116, 178, 162]","[145, 145, 145]",,,,,
train,3,0,apple1.png,512x512,383,25.6092141101,-3,0,10R 4/6,2,1,2,train/trial_000003/initial.png,train/trial_000003/candT.png,train/trial_000003/candF.png,"[60.0, -13.14139, 9.48346]","[60.0, 0.0, 0.0]","[40.7365, 26.61113, 19.3855]","[39.02291, 16.13709, 21.84609]","[60.00108, -13.14266, 9.48429]","[144, 78, 66]","[145, 145, 145]","[127, 151, 128]","[126, 81, 57]","[127, 151, 128]","[144, 78, 66]","[126, 81, 57]","[145, 145, 145]",,,,,
train,4,0,apple3.png,512x512,429,49.4778169387,-3,-2,2.5YR 6/6,1,1,1,train/trial_000004/initial.png,train/trial_000004/candT.png,train/trial_000004/candF.png,"[60.0, -12.66935, 11.89645]","[60.0, 0.0, 0.0]","[61.0465, 22.91706, 22.94037]","[59.87046, 10.10304, 30.0507]","[60.00109, -12.67071, 11.89727]","[198, 131, 108]","[145, 145, 145]","[130, 150, 123]","[178, 137, 92]","[130, 150, 123]","[198, 131, 108]","[178, 137, 92]","[145, 145, 145]",,,,,
train,5,0,apple3.png,512x512,434,-23.7085135451,-1,8,5P 9/2,1,6,1,train/trial_000005/initial.png,train/trial_000005/candT.png,train/trial_000005/candF.png,"[60.0, -17.92115, 0.63944]","[60.0, 0.0, 0.0]","[90.18132, 8.17278, -9.40561]","[89.73132, -17.19424, -9.07002]","[60.00103, -17.92194, 0.6403]","[235, 222, 245]","[145, 145, 145]","[108, 154, 143]","[177, 236, 242]","[108, 154, 143]","[235, 222, 245]","[177, 236, 242]","[145, 145, 145]",,,,,
train,6,0,apple1.png,512x512,418,45.1865668864,13,2,10R 6/10,2,1,2,train/trial_000006/initial.png,train/trial_000006/candT.png,train/trial_000006/candF.png,"[60.0, -9.17663, 0.89213]","[60.0, 0.0, 0.0]","[61.0465, 39.32415, 35.1182]","[58.41012, 26.93033, 31.72264]","[60.00106, -9.17776, 0.89306]","[224, 117, 87]","[145, 145, 145]","[127, 149, 143]","[199, 121, 86]","[127, 149, 143]","[224, 117, 87]","[199, 121, 86]","[145, 145, 145]",,,,,
train,7,0,apple1.png,512x512,402,-42.7477886885,-5,-8,2.5Y 7/2,1,1,1,train/trial_000007/initial.png,train/trial_000007/candT.png,train/trial_000007/candF.png,"[60.0, 5.23699, 2.04968]","[60.0, 0.0, 0.0]","[70.86085, 3.80823, 10.71179]","[71.14106, 10.63116, 13.26869]","[60.00111, 5.2353, 2.05072]","[188, 170, 154]","[145, 145, 145]","[156, 141, 141]","[202, 167, 151]","[156, 141, 141]","[188, 170, 154]","[202, 167, 151]","[145, 145, 145]",,,,,
train,8,0,apple1.png,512x512,369,10.5034209757,4,2,10Y 4/6,1,1,1,train/trial_000008/initial.png,train/trial_000008/candT.png,train/trial_000008/candF.png,"[60.0, -13.22942, -17.47312]","[60.0, 0.0, 0.0]","[40.7365, -6.75725, 41.15719]","[39.66217, -26.6302, 36.28882]","[60.00097, -13.22965, -17.4722]","[104, 98, 22]","[145, 145, 145]","[94, 153, 175]","[66, 103, 29]","[94, 153, 175]","[104, 98, 22]","[66, 103, 29]","[145, 145, 145]",,,,,
train,9,0,apple1.png,512x512,363,52.4768501635,12,10,10B 5/6,1,1,1,train/trial_000009/initial.png,train/trial_000009/candT.png,train/trial_000009/candF.png,"[60.0, 16.08515, -10.53816]","[60.0, 0.0, 0.0]","[51.00375, -4.96488, -26.47173]","[50.32209, 9.27579, -39.85864]","[60.0011, 16.08352, -10.537]","[76, 126, 166]","[145, 145, 145]","[165, 136, 163]","[88, 118, 188]","[165, 136, 163]","[76, 126, 166]","[88, 118, 188]","[145, 145, 145]",,,,,
train,10,0,apple1.png,512x512,445,-23.3528750055,-3,2,7.5P 3/10,1,1,1,train/trial_000010/initial.png,train/trial_000010/candT.png,train/trial_000010/candF.png,"[60.0, -19.66404, -1.13804]","[60.0, 0.0, 0.0]","[30.37867, 41.96146, -30.75268]","[26.38287, 31.40344, -38.16034]","[60.00102, -19.6647, -1.13719]","[111, 42, 120]","[145, 145, 145]","[101, 155, 146]","[77, 46, 121]","[101, 155, 146]","[111, 42, 120]","[77, 46, 121]","[145, 145, 145]",,,,,
