input,output,obj_code,bg_code,tint_idx,dE_pre,dE_post,scale_applied,RENORM_Y,L0,BACKGROUND_MODE
apple1_n01_s142_rot-57_dx+01_dy+06.png,apple1_n01_s142_rot-57_dx+01_dy+06__obj[5PB-7-2]__bg[2.5YR-9-4]__tint15.png,5PB 7/2,2.5YR 9/4,15,24.37441146734294,21.39435356525243,0.7339620117474991,False,80.0,full
apple1_n02_s141_rot+21_dx+12_dy+07.png,apple1_n02_s141_rot+21_dx+12_dy+07__obj[7.5GY-5-6]__bg[7.5Y-3-8]__tint11.png,7.5GY 5/6,7.5Y 3/8,11,26.26552393269927,24.95981829929013,1.0,False,80.0,full
apple1_n03_s182_rot-56_dx+00_dy+04.png,apple1_n03_s182_rot-56_dx+00_dy+04__obj[10PB-6-4]__bg[2.5R-3-10]__tint13.png,10PB 6/4,2.5R 3/10,13,38.46709712248145,33.39919687844329,1.0,False,80.0,full
apple1_n04_s131_rot+07_dx-03_dy-11.png,apple1_n04_s131_rot+07_dx-03_dy-11__obj[5G-3-6]__bg[2.5GY-5-10]__tint13.png,5G 3/6,2.5GY 5/10,13,32.2417358121145,37.23647959744102,1.0,False,80.0,full
apple1_n05_s181_rot-34_dx+04_dy-09.png,apple1_n05_s181_rot-34_dx+04_dy-09__obj[5G-6-2]__bg[10R-9-10]__tint01.png,5G 6/2,10R 9/10,1,40.68717387512921,39.01729417380552,0.5235368568198921,False,80.0,full
apple1_n06_s128_rot+31_dx-04_dy+02.png,apple1_n06_s128_rot+31_dx-04_dy+02__obj[2.5PB-4-6]__bg[7.5PB-6-10]__tint12.png,2.5PB 4/6,7.5PB 6/10,12,21.178658761394903,20.896907603986918,1.0,False,80.0,full
apple1_n07_s163_rot-41_dx-07_dy+12.png,apple1_n07_s163_rot-41_dx-07_dy+12__obj[10GY-2-10]__bg[10YR-8-8]__tint01.png,10GY 2/10,10YR 8/8,1,70.21592444223165,74.04644170946045,0.9276083271366331,False,80.0,full
apple1_n08_s139_rot-14_dx-04_dy+06.png,apple1_n08_s139_rot-14_dx-04_dy+06__obj[2.5G-3-2]__bg[2.5PB-7-6]__tint10.png,2.5G 3/2,2.5PB 7/6,10,45.336995812194374,45.12965766019729,1.0,False,80.0,full
apple1_n09_s161_rot+37_dx-11_dy-03.png,apple1_n09_s161_rot+37_dx-11_dy-03__obj[7.5P-3-6]__bg[10G-7-8]__tint01.png,7.5P 3/6,10G 7/8,1,57.24022401087978,56.659696682108546,1.0,False,80.0,full
apple1_n10_s176_rot-51_dx-05_dy-05.png,apple1_n10_s176_rot-51_dx-05_dy-05__obj[10R-7-2]__bg[7.5Y-6-4]__tint02.png,10R 7/2,7.5Y 6/4,2,24.355336796928782,23.126032211863105,1.0,False,80.0,full
apple1_n11_s174_rot+09_dx+11_dy+03.png,apple1_n11_s174_rot+09_dx+11_dy+03__obj[7.5RP-7-8]__bg[7.5YR-4-6]__tint08.png,7.5RP 7/8,7.5YR 4/6,8,39.21848225686575,42.085407376941085,1.0,False,80.0,full
apple1_n12_s157_rot+33_dx+09_dy-12.png,apple1_n12_s157_rot+33_dx+09_dy-12__obj[10GY-4-2]__bg[2.5GY-9-10]__tint11.png,10GY 4/2,2.5GY 9/10,11,47.31273143512984,45.99688211431687,1.0,False,80.0,full
apple1_n13_s140_rot-14_dx+04_dy-07.png,apple1_n13_s140_rot-14_dx+04_dy-07__obj[7.5GY-7-6]__bg[10R-3-10]__tint05.png,7.5GY 7/6,10R 3/10,5,60.27782618830986,54.14637919619495,1.0,False,80.0,full
apple1_n14_s148_rot-16_dx-01_dy+05.png,apple1_n14_s148_rot-16_dx-01_dy+05__obj[5RP-4-4]__bg[5R-2-2]__tint01.png,5RP 4/4,5R 2/2,1,17.515723448734448,17.687096983477243,1.0,False,80.0,full
apple1_n15_s137_rot+13_dx-01_dy-05.png,apple1_n15_s137_rot+13_dx-01_dy-05__obj[2.5BG-5-2]__bg[2.5R-6-4]__tint04.png,2.5BG 5/2,2.5R 6/4,4,30.523793463931778,30.300923128756626,1.0,False,80.0,full
apple1_n16_s148_rot-05_dx+06_dy-03.png,apple1_n16_s148_rot-05_dx+06_dy-03__obj[2.5Y-6-4]__bg[7.5RP-2-4]__tint16.png,2.5Y 6/4,7.5RP 2/4,16,45.05274157232464,44.89150433161168,1.0,False,80.0,full
apple1_n17_s156_rot+22_dx+02_dy-13.png,apple1_n17_s156_rot+22_dx+02_dy-13__obj[5G-5-6]__bg[2.5B-5-4]__tint13.png,5G 5/6,2.5B 5/4,13,19.436759974766243,21.773524030700063,1.0,False,80.0,full
apple1_n18_s157_rot+39_dx-10_dy+07.png,apple1_n18_s157_rot+39_dx-10_dy+07__obj[2.5GY-9-6]__bg[2.5PB-3-2]__tint02.png,2.5GY 9/6,2.5PB 3/2,2,63.163800518043956,62.912187686948364,1.0,False,80.0,full
apple1_n19_s136_rot-35_dx+10_dy-10.png,apple1_n19_s136_rot-35_dx+10_dy-10__obj[2.5YR-4-8]__bg[7.5B-9-10]__tint10.png,2.5YR 4/8,7.5B 9/10,10,66.08029091427433,62.82606398229064,0.6532469158981898,False,80.0,full
apple1_n20_s168_rot-34_dx+07_dy-06.png,apple1_n20_s168_rot-34_dx+07_dy-06__obj[2.5YR-4-10]__bg[7.5B-6-6]__tint01.png,2.5YR 4/10,7.5B 6/6,1,48.6206938684528,47.604597969252026,1.0,False,80.0,full
apple2_n01_s186_rot-43_dx+00_dy-05.png,apple2_n01_s186_rot-43_dx+00_dy-05__obj[7.5BG-7-8]__bg[10Y-8-4]__tint02.png,7.5BG 7/8,10Y 8/4,2,30.79610723080463,28.45108647603973,1.0,False,80.0,full
apple2_n02_s161_rot+30_dx-07_dy-04.png,apple2_n02_s161_rot+30_dx-07_dy-04__obj[5YR-7-4]__bg[7.5RP-7-8]__tint16.png,5YR 7/4,7.5RP 7/8,16,18.650153067697293,16.132976610370097,1.0,False,80.0,full
apple2_n03_s174_rot-34_dx-15_dy-01.png,apple2_n03_s174_rot-34_dx-15_dy-01__obj[2.5RP-3-8]__bg[10GY-5-8]__tint06.png,2.5RP 3/8,10GY 5/8,6,64.02182338287128,65.09309325362138,1.0,False,80.0,full
apple2_n04_s139_rot+31_dx+08_dy+11.png,apple2_n04_s139_rot+31_dx+08_dy+11__obj[5Y-3-8]__bg[7.5B-9-4]__tint11.png,5Y 3/8,7.5B 9/4,11,67.4905566985611,58.80132888527744,1.0,False,80.0,full
apple2_n05_s148_rot+35_dx+07_dy+03.png,apple2_n05_s148_rot+35_dx+07_dy+03__obj[2.5RP-9-4]__bg[10YR-3-10]__tint15.png,2.5RP 9/4,10YR 3/10,15,65.13384749443993,54.187345859437784,0.8230271984121043,False,80.0,full
apple2_n06_s176_rot+12_dx+00_dy+09.png,apple2_n06_s176_rot+12_dx+00_dy+09__obj[10BG-9-10]__bg[10Y-5-10]__tint15.png,10BG 9/10,10Y 5/10,15,53.709641518618476,47.20008045967681,1.0,False,80.0,full
apple2_n07_s129_rot+22_dx+03_dy-03.png,apple2_n07_s129_rot+22_dx+03_dy-03__obj[10B-3-6]__bg[5P-9-4]__tint08.png,10B 3/6,5P 9/4,8,56.776278321020925,53.2853915785252,0.7612185301426182,False,80.0,full
apple2_n08_s162_rot+32_dx-02_dy+07.png,apple2_n08_s162_rot+32_dx-02_dy+07__obj[2.5Y-3-2]__bg[5P-6-4]__tint12.png,2.5Y 3/2,5P 6/4,12,36.92067966473016,37.762051547269756,1.0,False,80.0,full
apple2_n09_s148_rot-06_dx+10_dy-10.png,apple2_n09_s148_rot-06_dx+10_dy-10__obj[10P-7-2]__bg[2.5Y-7-6]__tint10.png,10P 7/2,2.5Y 7/6,10,29.908593549781866,28.015358360020365,1.0,False,80.0,full
apple2_n10_s161_rot+57_dx-12_dy-01.png,apple2_n10_s161_rot+57_dx-12_dy-01__obj[10RP-7-10]__bg[10PB-3-8]__tint12.png,10RP 7/10,10PB 3/8,12,47.073110544019,43.4282766368329,1.0,False,80.0,full
apple2_n11_s141_rot+44_dx-04_dy-05.png,apple2_n11_s141_rot+44_dx-04_dy-05__obj[2.5B-5-6]__bg[2.5RP-6-6]__tint04.png,2.5B 5/6,2.5RP 6/6,4,42.10539934561034,38.721787759297726,1.0,False,80.0,full
apple2_n12_s153_rot-42_dx-12_dy-03.png,apple2_n12_s153_rot-42_dx-12_dy-03__obj[10P-2-2]__bg[5RP-3-2]__tint08.png,10P 2/2,5RP 3/2,8,8.045721615984494,7.707537943273585,1.0,False,80.0,full
apple2_n13_s128_rot+12_dx+07_dy+06.png,apple2_n13_s128_rot+12_dx+07_dy+06__obj[2.5P-5-2]__bg[2.5Y-5-4]__tint16.png,2.5P 5/2,2.5Y 5/4,16,26.049201827318534,29.668070014080598,1.0,False,80.0,full
apple2_n14_s174_rot+45_dx-05_dy+12.png,apple2_n14_s174_rot+45_dx-05_dy+12__obj[2.5GY-5-6]__bg[2.5RP-4-8]__tint11.png,2.5GY 5/6,2.5RP 4/8,11,52.37174763988875,47.71303409624202,1.0,False,80.0,full
apple2_n15_s135_rot-31_dx+09_dy+05.png,apple2_n15_s135_rot-31_dx+09_dy+05__obj[5YR-2-4]__bg[10PB-9-10]__tint07.png,5YR 2/4,10PB 9/10,7,74.49711309386306,72.67420115846292,0.6967489569607614,False,80.0,full
apple2_n16_s190_rot+38_dx-14_dy-03.png,apple2_n16_s190_rot+38_dx-14_dy-03__obj[7.5G-9-2]__bg[2.5RP-4-2]__tint15.png,7.5G 9/2,2.5RP 4/2,15,47.076978223026416,48.09203399643797,1.0,False,80.0,full
apple2_n17_s144_rot-45_dx-08_dy-03.png,apple2_n17_s144_rot-45_dx-08_dy-03__obj[7.5BG-7-2]__bg[2.5B-4-8]__tint15.png,7.5BG 7/2,2.5B 4/8,15,31.63054803159526,37.93945518395434,1.0,False,80.0,full
apple2_n18_s161_rot+03_dx+10_dy-02.png,apple2_n18_s161_rot+03_dx+10_dy-02__obj[10P-3-2]__bg[10Y-9-2]__tint03.png,10P 3/2,10Y 9/2,3,57.220611144475,57.587042201523886,1.0,False,80.0,full
apple2_n19_s153_rot+26_dx-04_dy-07.png,apple2_n19_s153_rot+26_dx-04_dy-07__obj[2.5R-9-4]__bg[5G-8-6]__tint14.png,2.5R 9/4,5G 8/6,14,45.20982413036585,20.491093722416416,1.0,False,80.0,full
apple2_n20_s175_rot-07_dx+07_dy+06.png,apple2_n20_s175_rot-07_dx+07_dy+06__obj[5YR-3-6]__bg[2.5Y-6-10]__tint09.png,5YR 3/6,2.5Y 6/10,9,34.697472447969886,34.181855480363595,1.0,False,80.0,full
apple3_n01_s156_rot-52_dx-03_dy-01.png,apple3_n01_s156_rot-52_dx-03_dy-01__obj[10R-5-6]__bg[10YR-9-4]__tint13.png,10R 5/6,10YR 9/4,13,33.16987074662447,28.543329352334084,0.6442719776861605,False,80.0,full
apple3_n02_s156_rot-59_dx+11_dy+04.png,apple3_n02_s156_rot-59_dx+11_dy+04__obj[10G-2-10]__bg[2.5R-7-8]__tint15.png,10G 2/10,2.5R 7/8,15,75.78752672537478,80.25240783428775,0.9601864889099136,False,80.0,full
apple3_n03_s136_rot+49_dx+12_dy+06.png,apple3_n03_s136_rot+49_dx+12_dy+06__obj[5G-3-10]__bg[7.5YR-5-2]__tint04.png,5G 3/10,7.5YR 5/2,4,39.51452698208955,39.405352001373394,1.0,False,80.0,full
apple3_n04_s158_rot-27_dx-09_dy-02.png,apple3_n04_s158_rot-27_dx-09_dy-02__obj[10B-2-2]__bg[5Y-4-6]__tint12.png,10B 2/2,5Y 4/6,12,36.44369273190601,37.66279403649394,1.0,False,80.0,full
apple3_n05_s188_rot-31_dx-07_dy+05.png,apple3_n05_s188_rot-31_dx-07_dy+05__obj[10P-3-6]__bg[7.5BG-7-6]__tint11.png,10P 3/6,7.5BG 7/6,11,55.41282243962454,57.33940918084879,1.0,False,80.0,full
apple3_n06_s140_rot-48_dx-07_dy+04.png,apple3_n06_s140_rot-48_dx-07_dy+04__obj[5PB-9-10]__bg[10PB-3-10]__tint02.png,5PB 9/10,10PB 3/10,2,56.06588691319745,56.962728130829404,0.5693967459599906,False,80.0,full
apple3_n07_s187_rot+44_dx-02_dy-03.png,apple3_n07_s187_rot+44_dx-02_dy-03__obj[10Y-9-2]__bg[10RP-7-10]__tint00.png,10Y 9/2,10RP 7/10,0,32.75995051186252,32.76181239016176,1.0,False,80.0,full
apple3_n08_s140_rot-53_dx+04_dy-11.png,apple3_n08_s140_rot-53_dx+04_dy-11__obj[10G-4-4]__bg[7.5RP-4-8]__tint14.png,10G 4/4,7.5RP 4/8,14,36.41979955962416,39.47505564326576,1.0,False,80.0,full
apple3_n09_s141_rot-30_dx-05_dy+02.png,apple3_n09_s141_rot-30_dx-05_dy+02__obj[10PB-8-8]__bg[5PB-3-10]__tint16.png,10PB 8/8,5PB 3/10,16,48.5346113152814,44.631533658321786,0.5879003669145266,False,80.0,full
apple3_n10_s182_rot-38_dx+06_dy-06.png,apple3_n10_s182_rot-38_dx+06_dy-06__obj[10RP-4-6]__bg[10R-2-6]__tint04.png,10RP 4/6,10R 2/6,4,18.330219378491925,18.77454374979327,1.0,False,80.0,full
apple3_n11_s137_rot-07_dx-13_dy-04.png,apple3_n11_s137_rot-07_dx-13_dy-04__obj[7.5B-7-6]__bg[5P-8-8]__tint04.png,7.5B 7/6,5P 8/8,4,25.902830029704894,23.768076509846036,0.8731583211648439,False,80.0,full
apple3_n12_s134_rot+18_dx+09_dy+01.png,apple3_n12_s134_rot+18_dx+09_dy+01__obj[5G-3-6]__bg[2.5G-4-6]__tint12.png,5G 3/6,2.5G 4/6,12,9.2417209557843,9.15725331396343,1.0,False,80.0,full
apple3_n13_s139_rot+51_dx+07_dy+11.png,apple3_n13_s139_rot+51_dx+07_dy+11__obj[10B-8-2]__bg[2.5GY-6-6]__tint13.png,10B 8/2,2.5GY 6/6,13,36.51492487169588,39.105773431843836,1.0,False,80.0,full
apple3_n14_s190_rot-02_dx+11_dy-08.png,apple3_n14_s190_rot-02_dx+11_dy-08__obj[2.5R-8-10]__bg[7.5RP-2-2]__tint02.png,2.5R 8/10,7.5RP 2/2,2,62.62445804538946,61.61176180736811,0.8441654121905141,False,80.0,full
apple3_n15_s149_rot-15_dx-01_dy+15.png,apple3_n15_s149_rot-15_dx-01_dy+15__obj[10R-4-2]__bg[2.5R-3-4]__tint01.png,10R 4/2,2.5R 3/4,1,11.513049624158484,10.577405253678581,1.0,False,80.0,full
apple3_n16_s186_rot-26_dx-01_dy-11.png,apple3_n16_s186_rot-26_dx-01_dy-11__obj[10BG-6-10]__bg[10BG-8-8]__tint09.png,10BG 6/10,10BG 8/8,9,15.210661104914715,16.855963261904172,1.0,False,80.0,full
