stim_id,hue,intensity,kind,bg_r,bg_g,bg_b,center_r,center_g,center_b,true_hue,pred_hue
99,green,1.0,flat,0.5,0.5,0.5,0.0,1.0,0.0,green,white
151,yellow,0.04,flat,0.5,0.5,0.5,0.04,0.04,0.0,yellow,green
172,yellow,0.46,flat,0.5,0.5,0.5,0.46,0.46,0.0,yellow,white
174,yellow,0.5,flat,0.5,0.5,0.5,0.5,0.5,0.0,yellow,white
175,yellow,0.52,flat,0.5,0.5,0.5,0.52,0.52,0.0,yellow,white
205,white,0.12,flat,0.5,0.5,0.5,0.12,0.12,0.12,white,green
208,white,0.18,flat,0.5,0.5,0.5,0.18,0.18,0.18,white,green
209,white,0.2,flat,0.5,0.5,0.5,0.2,0.2,0.2,white,yellow
211,white,0.24,flat,0.5,0.5,0.5,0.24,0.24,0.24,white,yellow
221,white,0.44,flat,0.5,0.5,0.5,0.44,0.44,0.44,white,green
