stim_id,hue,intensity,kind,bg_r,bg_g,bg_b,center_r,center_g,center_b,true_hue,pred_hue
50,green,0.02,flat,0.5,0.5,0.5,0.0,0.02,0.0,green,blue
51,green,0.04,flat,0.5,0.5,0.5,0.0,0.04,0.0,green,blue
99,green,1.0,flat,0.5,0.5,0.5,0.0,1.0,0.0,green,white
150,yellow,0.01,flat,0.5,0.5,0.5,0.01,0.01,0.0,yellow,white
151,yellow,0.02,flat,0.5,0.5,0.5,0.02,0.02,0.0,yellow,blue
152,yellow,0.03,flat,0.5,0.5,0.5,0.03,0.03,0.0,yellow,green
153,yellow,0.04,flat,0.5,0.5,0.5,0.04,0.04,0.0,yellow,green
166,yellow,0.17,flat,0.5,0.5,0.5,0.17,0.17,0.0,yellow,green
167,yellow,0.18,flat,0.5,0.5,0.5,0.18,0.18,0.0,yellow,green
168,yellow,0.19,flat,0.5,0.5,0.5,0.19,0.19,0.0,yellow,green
171,yellow,0.22,flat,0.5,0.5,0.5,0.22,0.22,0.0,yellow,green
172,yellow,0.23,flat,0.5,0.5,0.5,0.23,0.23,0.0,yellow,green
180,yellow,0.31,flat,0.5,0.5,0.5,0.31,0.31,0.0,yellow,white
182,yellow,0.33,flat,0.5,0.5,0.5,0.33,0.33,0.0,yellow,white
183,yellow,0.34,flat,0.5,0.5,0.5,0.34,0.34,0.0,yellow,white
184,yellow,0.35,flat,0.5,0.5,0.5,0.35,0.35,0.0,yellow,white
185,yellow,0.36,flat,0.5,0.5,0.5,0.36,0.36,0.0,yellow,white
186,yellow,0.37,flat,0.5,0.5,0.5,0.37,0.37,0.0,yellow,white
189,yellow,0.4,flat,0.5,0.5,0.5,0.4,0.4,0.0,yellow,white
190,yellow,0.41,flat,0.5,0.5,0.5,0.41,0.41,0.0,yellow,white
191,yellow,0.42,flat,0.5,0.5,0.5,0.42,0.42,0.0,yellow,white
192,yellow,0.43,flat,0.5,0.5,0.5,0.43,0.43,0.0,yellow,white
193,yellow,0.44,flat,0.5,0.5,0.5,0.44,0.44,0.0,yellow,white
194,yellow,0.45,flat,0.5,0.5,0.5,0.45,0.45,0.0,yellow,white
196,yellow,0.47,flat,0.5,0.5,0.5,0.47,0.47,0.0,yellow,white
198,yellow,0.49,flat,0.5,0.5,0.5,0.49,0.49,0.0,yellow,white
199,yellow,0.5,flat,0.5,0.5,0.5,0.5,0.5,0.0,yellow,white
200,yellow,0.51,flat,0.5,0.5,0.5,0.51,0.51,0.0,yellow,white
248,yellow,0.99,flat,0.5,0.5,0.5,0.99,0.99,0.0,yellow,white
249,yellow,1.0,flat,0.5,0.5,0.5,1.0,1.0,0.0,yellow,white
251,white,0.02,flat,0.5,0.5,0.5,0.02,0.02,0.02,white,blue
253,white,0.04,flat,0.5,0.5,0.5,0.04,0.04,0.04,white,green
254,white,0.05,flat,0.5,0.5,0.5,0.05,0.05,0.05,white,yellow
255,white,0.06,flat,0.5,0.5,0.5,0.06,0.06,0.06,white,yellow
261,white,0.12,flat,0.5,0.5,0.5,0.12,0.12,0.12,white,green
262,white,0.13,flat,0.5,0.5,0.5,0.13,0.13,0.13,white,green
263,white,0.14,flat,0.5,0.5,0.5,0.14,0.14,0.14,white,green
264,white,0.15,flat,0.5,0.5,0.5,0.15,0.15,0.15,white,green
265,white,0.16,flat,0.5,0.5,0.5,0.16,0.16,0.16,white,green
266,white,0.17,flat,0.5,0.5,0.5,0.17,0.17,0.17,white,green
268,white,0.19,flat,0.5,0.5,0.5,0.19,0.19,0.19,white,green
269,white,0.2,flat,0.5,0.5,0.5,0.2,0.2,0.2,white,green
270,white,0.21,flat,0.5,0.5,0.5,0.21,0.21,0.21,white,green
271,white,0.22,flat,0.5,0.5,0.5,0.22,0.22,0.22,white,green
272,white,0.23,flat,0.5,0.5,0.5,0.23,0.23,0.23,white,green
273,white,0.24,flat,0.5,0.5,0.5,0.24,0.24,0.24,white,green
274,white,0.25,flat,0.5,0.5,0.5,0.25,0.25,0.25,white,green
275,white,0.26,flat,0.5,0.5,0.5,0.26,0.26,0.26,white,green
276,white,0.27,flat,0.5,0.5,0.5,0.27,0.27,0.27,white,yellow
321,white,0.72,flat,0.5,0.5,0.5,0.72,0.72,0.72,white,yellow
322,white,0.73,flat,0.5,0.5,0.5,0.73,0.73,0.73,white,yellow
325,white,0.76,flat,0.5,0.5,0.5,0.76,0.76,0.76,white,yellow
327,white,0.78,flat,0.5,0.5,0.5,0.78,0.78,0.78,white,yellow
328,white,0.79,flat,0.5,0.5,0.5,0.79,0.79,0.79,white,yellow
329,white,0.8,flat,0.5,0.5,0.5,0.8,0.8,0.8,white,yellow
