stim_id,hue,intensity,kind,bg_r,bg_g,bg_b,center_r,center_g,center_b
0,red,0.05,flat,0.5,0.5,0.5,0.05,0.0,0.0
1,red,0.1,flat,0.5,0.5,0.5,0.1,0.0,0.0
2,red,0.15000000000000002,flat,0.5,0.5,0.5,0.15000000000000002,0.0,0.0
3,red,0.2,flat,0.5,0.5,0.5,0.2,0.0,0.0
4,red,0.25,flat,0.5,0.5,0.5,0.25,0.0,0.0
5,red,0.30000000000000004,flat,0.5,0.5,0.5,0.30000000000000004,0.0,0.0
6,red,0.35000000000000003,flat,0.5,0.5,0.5,0.35000000000000003,0.0,0.0
7,red,0.4,flat,0.5,0.5,0.5,0.4,0.0,0.0
8,red,0.45,flat,0.5,0.5,0.5,0.45,0.0,0.0
9,red,0.5,flat,0.5,0.5,0.5,0.5,0.0,0.0
10,red,0.55,flat,0.5,0.5,0.5,0.55,0.0,0.0
11,red,0.6000000000000001,flat,0.5,0.5,0.5,0.6000000000000001,0.0,0.0
12,red,0.65,flat,0.5,0.5,0.5,0.65,0.0,0.0
13,red,0.7000000000000001,flat,0.5,0.5,0.5,0.7000000000000001,0.0,0.0
14,red,0.75,flat,0.5,0.5,0.5,0.75,0.0,0.0
15,red,0.8,flat,0.5,0.5,0.5,0.8,0.0,0.0
16,red,0.8500000000000001,flat,0.5,0.5,0.5,0.8500000000000001,0.0,0.0
17,red,0.9,flat,0.5,0.5,0.5,0.9,0.0,0.0
18,red,0.9500000000000001,flat,0.5,0.5,0.5,0.9500000000000001,0.0,0.0
19,red,1.0,flat,0.5,0.5,0.5,1.0,0.0,0.0
20,green,0.05,flat,0.5,0.5,0.5,0.0,0.05,0.0
21,green,0.1,flat,0.5,0.5,0.5,0.0,0.1,0.0
22,green,0.15000000000000002,flat,0.5,0.5,0.5,0.0,0.15000000000000002,0.0
23,green,0.2,flat,0.5,0.5,0.5,0.0,0.2,0.0
24,green,0.25,flat,0.5,0.5,0.5,0.0,0.25,0.0
25,green,0.30000000000000004,flat,0.5,0.5,0.5,0.0,0.30000000000000004,0.0
26,green,0.35000000000000003,flat,0.5,0.5,0.5,0.0,0.35000000000000003,0.0
27,green,0.4,flat,0.5,0.5,0.5,0.0,0.4,0.0
