stim_id,hue,intensity,kind,bg_r,bg_g,bg_b,center_r,center_g,center_b
0,red,0.02,flat,0.5,0.5,0.5,0.02,0.0,0.0
1,red,0.04,flat,0.5,0.5,0.5,0.04,0.0,0.0
2,red,0.06,flat,0.5,0.5,0.5,0.06,0.0,0.0
3,red,0.08,flat,0.5,0.5,0.5,0.08,0.0,0.0
4,red,0.1,flat,0.5,0.5,0.5,0.1,0.0,0.0
5,red,0.12,flat,0.5,0.5,0.5,0.12,0.0,0.0
6,red,0.14,flat,0.5,0.5,0.5,0.14,0.0,0.0
7,red,0.16,flat,0.5,0.5,0.5,0.16,0.0,0.0
8,red,0.18,flat,0.5,0.5,0.5,0.18,0.0,0.0
9,red,0.2,flat,0.5,0.5,0.5,0.2,0.0,0.0
10,red,0.22,flat,0.5,0.5,0.5,0.22,0.0,0.0
11,red,0.24,flat,0.5,0.5,0.5,0.24,0.0,0.0
12,red,0.26,flat,0.5,0.5,0.5,0.26,0.0,0.0
13,red,0.28,flat,0.5,0.5,0.5,0.28,0.0,0.0
14,red,0.3,flat,0.5,0.5,0.5,0.3,0.0,0.0
15,red,0.32,flat,0.5,0.5,0.5,0.32,0.0,0.0
16,red,0.34,flat,0.5,0.5,0.5,0.34,0.0,0.0
17,red,0.36,flat,0.5,0.5,0.5,0.36,0.0,0.0
18,red,0.38,flat,0.5,0.5,0.5,0.38,0.0,0.0
19,red,0.4,flat,0.5,0.5,0.5,0.4,0.0,0.0
20,red,0.42,flat,0.5,0.5,0.5,0.42,0.0,0.0
21,red,0.44,flat,0.5,0.5,0.5,0.44,0.0,0.0
22,red,0.46,flat,0.5,0.5,0.5,0.46,0.0,0.0
23,red,0.48,flat,0.5,0.5,0.5,0.48,0.0,0.0
24,red,0.5,flat,0.5,0.5,0.5,0.5,0.0,0.0
25,red,0.52,flat,0.5,0.5,0.5,0.52,0.0,0.0
26,red,0.54,flat,0.5,0.5,0.5,0.54,0.0,0.0
27,red,0.56,flat,0.5,0.5,0.5,0.56,0.0,0.0
28,red,0.58,flat,0.5,0.5,0.5,0.58,0.0,0.0
29,red,0.6,flat,0.5,0.5,0.5,0.6,0.0,0.0
30,red,0.62,flat,0.5,0.5,0.5,0.62,0.0,0.0
31,red,0.64,flat,0.5,0.5,0.5,0.64,0.0,0.0
32,red,0.66,flat,0.5,0.5,0.5,0.66,0.0,0.0
33,red,0.68,flat,0.5,0.5,0.5,0.68,0.0,0.0
34,red,0.7000000000000001,flat,0.5,0.5,0.5,0.7000000000000001,0.0,0.0
35,red,0.72,flat,0.5,0.5,0.5,0.72,0.0,0.0
36,red,0.74,flat,0.5,0.5,0.5,0.74,0.0,0.0
37,red,0.76,flat,0.5,0.5,0.5,0.76,0.0,0.0
38,red,0.78,flat,0.5,0.5,0.5,0.78,0.0,0.0
39,red,0.8,flat,0.5,0.5,0.5,0.8,0.0,0.0
40,red,0.8200000000000001,flat,0.5,0.5,0.5,0.8200000000000001,0.0,0.0
41,red,0.84,flat,0.5,0.5,0.5,0.84,0.0,0.0
42,red,0.86,flat,0.5,0.5,0.5,0.86,0.0,0.0
43,red,0.88,flat,0.5,0.5,0.5,0.88,0.0,0.0
